Time,in_V_M1,in_V_M2,in_V_M3,in_V_M4,out_W_M1,out_W_M2,out_W_M3,out_W_M4,V_Batt,j
4869,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,78
4879,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,79
4889,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,80
4899,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,81
4909,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,82
4919,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,83
4929,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,84
4939,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,85
4949,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,86
4959,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,87
4969,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,88
4979,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,89
4989,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,90
4999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,91
5009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,92
5019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,93
5029,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,94
5039,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,95
5049,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,96
5059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,97
5069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,98
5079,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,99
5089,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,0
5099,12.00,12.00,12.00,12.00,-0.28,-0.14,0.00,0.00,13.41,1
5109,12.00,12.00,12.00,12.00,-0.42,-0.14,0.00,0.00,7.45,2
5119,12.00,12.00,12.00,12.00,-1.96,-1.68,-0.98,-1.40,7.50,3
5129,12.00,12.00,12.00,12.00,-3.09,-2.80,-2.38,-2.52,8.26,4
5139,12.00,12.00,12.00,12.00,-4.07,-3.79,-3.51,-3.65,8.39,5
